#time(ms)  mc_area
2.684608   12748.3
4.417440   12748.3
7.638080   12748.3
13.655104   12748.3
26.111073   12665
50.282398   12665
152.685699   12626.7
258.655853   12671.9
460.963104   12586
854.320251   12407.6
1632.532593   12475.5
