#design   MC_size   block_size   #MC time (ms)
poly8   32768   224   9.854752
poly8   32768   480   10.693312
poly8   32768   512   10.750976
poly8   32768   576   13.887168
poly8   32768   640   12.844192
poly8   32768   736   12.385984
poly8   32768   800   12.829024
poly8   32768   928   10.816800
poly8   32768   1024   11.074912
poly8   65536   32   29.592417
poly8   65536   96   21.587584
poly8   65536   128   20.776608
poly8   65536   160   22.042048
poly8   65536   224   22.386944
poly8   65536   480   23.503584
poly8   65536   512   21.571585
poly8   65536   576   30.650433
poly8   65536   640   30.107136
poly8   65536   736   27.323616
poly8   65536   800   26.252993
poly8   65536   928   24.237921
poly8   65536   1024   22.690241
poly8   131072   32   77.295906
poly8   131072   96   55.826015
poly8   131072   128   54.204990
poly8   131072   160   56.427071
poly8   131072   224   58.767296
poly8   131072   480   58.233215
poly8   131072   512   56.467583
poly8   131072   576   79.618179
poly8   131072   640   77.304001
poly8   131072   736   71.119965
poly8   131072   800   65.231102
poly8   131072   928   60.935806
poly8   131072   1024   58.753376
