#block_size   #MC time (ms)
32  28.059488
96  20.526785
160  21.172928
224  21.954081
352  24.423489
480  22.303968
512  20.535263
576  29.309025
640  27.792768
736  25.136225
800  25.982944
864  23.292896
928  23.816929
992  21.630432
1024  21.784384
